date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bs,0.0,0.0,218.362138078,63.2996756368,141.0
2011-09-09,bs,0.0,0.0,238.169870205,50.169455768,138.0
2011-09-11,bs,0.0,0.0,245.388084799,76.0335038378,134.0
2011-09-12,bs,0.0,0.0,248.580211891,90.3865638496,124.0
2011-09-13,bs,0.0,0.0,255.472024723,87.7886248755,137.0
2011-09-14,bs,0.0,0.0,235.023121261,84.1660231661,134.0
2011-09-15,bs,0.0,0.0,250.98844761,71.9971134037,119.0
2011-09-16,bs,0.0,0.0,259.172941852,56.9524080302,112.0
2011-09-17,bs,0.0,0.0,263.763046095,54.6906889914,114.0
2011-09-18,bs,0.0,0.0,256.424205913,47.7125460035,108.0
2011-09-19,bs,0.0,0.0,253.076160419,44.7573072963,113.0
2011-09-20,bs,0.0,0.0,258.470652028,53.0246661789,112.0
2011-09-21,bs,0.0,0.0,253.507319167,50.3787333943,102.0
2011-09-22,bs,0.0,0.0,213.021390509,50.4055012643,109.0
2011-09-23,bs,0.0,0.0,200.225305158,49.5617203264,102.0
2011-09-24,bs,0.0,0.0,199.595699692,53.1011359908,113.0
2011-09-25,bs,0.0,0.0,189.97008219,47.5880614331,118.0
2011-09-26,bs,0.0,0.0,182.07131114,52.0029401611,117.0
2011-09-27,bs,0.0,0.0,183.040750058,54.5009879633,111.0
2011-09-28,bs,0.0,0.0,166.91296143,50.3411723115,95.0
2011-09-29,bs,0.0,0.0,172.056583933,52.7662588113,104.0
2011-09-30,bs,0.0,0.0,177.965298517,47.6092066544,106.0
2011-10-01,bs,0.0,0.0,205.679654694,54.4273111432,98.0
2011-10-02,bs,0.0,0.0,192.797506932,55.2386114703,97.0
2011-10-03,bs,0.0,0.0,212.048162448,55.9495378526,111.0
2011-10-04,bs,0.0,0.0,199.31544042,49.5270450054,110.0
2011-10-05,bs,0.0,0.0,184.804102309,43.2711120379,110.0
2011-10-06,bs,0.0,0.0,176.428050226,54.9528997514,108.0
2011-10-07,bs,0.0,0.0,173.019892865,55.7333470917,103.0
2011-10-08,bs,0.0,0.0,169.803153361,46.6303793222,111.0
2011-10-09,bs,0.0,0.0,183.359349106,49.5333643284,115.0
2011-10-10,bs,0.0,0.0,186.995362416,54.2518320611,103.0
2011-10-11,bs,0.0,0.0,192.816666448,52.8682809932,100.0
2011-10-12,bs,0.0,0.0,183.024500187,49.9770083595,110.0
2011-10-13,bs,0.0,0.0,196.612683925,57.6536814481,112.0
2011-10-14,bs,0.0,0.0,200.743881583,50.1698070069,92.0
2011-10-15,bs,0.0,0.0,174.593546358,55.0141083517,90.0
2011-10-16,bs,0.0,0.0,178.032711407,59.4059561488,91.0
2011-10-17,bs,0.0,0.0,168.967072938,48.4695697781,88.0
2011-10-18,bs,0.0,0.0,160.14615272,48.580025995,89.0
2011-10-19,bs,0.0,0.0,176.636131722,55.988235565,81.0
2011-10-20,bs,0.0,0.0,201.594894788,48.1875106598,90.0
2011-10-21,bs,0.0,0.0,146.565925118,36.9358637181,117.0
2011-10-22,bs,0.0,0.0,151.26182294,38.6060258471,127.0
2011-10-23,bs,0.0,0.0,140.561003193,41.8273475564,124.0
2011-10-24,bs,0.0,0.0,152.507161325,35.1704147066,111.0
2011-10-25,bs,0.0,0.0,136.848851143,38.1314117731,110.0
2011-10-26,bs,0.0,0.0,148.087208025,28.2959623814,110.0
2011-10-27,bs,0.0,0.0,150.600997719,29.0288556136,114.0
2011-10-28,bs,0.0,0.0,196.897197931,42.0819670719,121.0
2011-10-29,bs,0.0,0.0,207.006444913,55.2281631873,127.0
2011-10-30,bs,0.0,0.0,200.013682906,48.9907119214,163.0
2011-10-31,bs,0.0,0.0,180.500619264,46.2546696866,157.0
2011-11-01,bs,0.0,0.0,168.232088646,57.4841374143,149.0
2011-11-02,bs,0.0,0.0,180.843027857,43.1685756549,139.0
2011-11-03,bs,0.0,0.0,189.501005931,48.2030055497,151.0
2011-11-04,bs,0.0,0.0,226.538327153,47.9399893285,158.0
2011-11-05,bs,0.0,0.0,249.350352313,54.5703157636,165.0
2011-11-06,bs,0.0,0.0,295.956426362,85.6587992724,152.0
2011-11-07,bs,0.0,0.0,245.263279576,87.0807602906,152.0
2011-11-08,bs,0.0,0.0,260.833067062,70.2579650104,146.0
2011-11-09,bs,0.0,0.0,304.332124274,47.528747177,148.0
2011-11-10,bs,0.0,0.0,292.303837116,71.7052359283,149.0
2011-11-11,bs,0.0,0.0,231.422065163,87.423522983,137.0
2011-11-12,bs,0.0,0.0,224.895399573,81.9381056092,147.0
2011-11-13,bs,0.0,0.0,222.916348536,72.3210537593,146.0
2011-11-14,bs,0.0,0.0,235.467030652,73.6193634893,141.0
2011-11-15,bs,0.0,0.0,239.561868217,64.281546293,144.0
2011-11-16,bs,0.0,0.0,251.488834097,53.8376159274,145.0
2011-11-17,bs,0.0,0.0,225.470965922,66.2541626932,145.0
2011-11-18,bs,0.0,0.0,203.920999128,75.880255801,131.0
2011-11-19,bs,0.0,0.0,227.742464921,80.692724878,110.0
2011-11-20,bs,0.0,0.0,234.560091464,76.3926605429,132.0
2011-11-21,bs,0.0,0.0,233.445545081,74.0414594532,113.0
2011-11-22,bs,0.0,0.0,244.206641166,68.7362555933,107.0
2011-11-23,bs,0.0,0.0,295.900795521,63.7471574994,115.0
2011-11-24,bs,0.0,0.0,430.773312605,69.6974900914,109.0
2011-11-25,bs,0.0,0.0,371.496971556,24.0749523638,77.0
2011-11-26,bs,0.0,0.0,299.387077577,25.9864196888,132.0
2011-11-27,bs,0.0,0.0,244.415462028,61.249257248,118.0
2011-11-28,bs,0.0,0.0,188.803795898,56.3128191646,106.0
2011-11-29,bs,0.0,0.0,179.995355222,42.4461027222,89.0
2011-11-30,bs,0.0,0.0,181.867102841,30.2725766956,79.0
2011-12-01,bs,0.0,0.0,162.142006829,17.972544161,104.0
2011-12-02,bs,0.0,0.0,166.825698895,8.03630566832,100.0
2011-12-03,bs,0.0,0.0,239.887577771,26.443054208,97.0
2011-12-04,bs,0.0,0.0,176.945622065,47.9600419425,115.0
2011-12-05,bs,0.0,0.0,204.693514828,54.8819327815,142.0
2011-12-06,bs,0.0,0.0,166.529804213,42.6531576401,119.0
2011-12-07,bs,0.0,0.0,155.986306191,37.8106680116,117.0
2011-12-08,bs,0.0,0.0,178.73129662,43.0996837784,129.0
2011-12-09,bs,0.0,0.0,181.484365722,42.6369391372,132.0
2011-12-10,bs,0.0,0.0,169.747142397,45.9915104508,115.0
2011-12-11,bs,0.0,0.0,218.044707412,63.4298337047,123.0
2011-12-12,bs,0.0,0.0,212.248284538,71.73066953,135.0
2011-12-13,bs,0.0,0.0,201.496150711,62.3693323891,129.0
2011-12-14,bs,0.0,0.0,202.51916767,55.0320884315,128.0
2011-12-15,bs,0.0,0.0,217.911644046,62.0793043905,129.0
2011-12-16,bs,0.0,0.0,225.236771574,70.4106788272,136.0
2011-12-17,bs,0.0,0.0,205.149846685,58.0047252205,114.0
2011-12-18,bs,0.0,0.0,208.365496053,64.2203771918,107.0
2011-12-19,bs,0.0,0.0,217.377183594,70.8830191895,130.0
2011-12-20,bs,0.0,0.0,211.147154524,68.0999033684,106.0
2011-12-21,bs,0.0,0.0,214.240112878,65.8444786794,86.0
2011-12-22,bs,0.0,0.0,214.868032084,68.5845160102,88.0
2011-12-23,bs,0.0,0.0,203.639285436,73.1242675412,87.0
2011-12-24,bs,0.0,0.0,176.005617496,56.0247485371,91.0
2011-12-25,bs,0.0,0.0,203.126282014,55.1884796557,95.0
2011-12-26,bs,0.0,0.0,202.236938582,62.1767308102,85.0
2011-12-27,bs,0.0,0.0,186.142524142,50.7701641454,93.0
2011-12-28,bs,0.0,0.0,159.747054961,37.3461704638,98.0
2011-12-29,bs,0.0,0.0,158.196159853,40.1396259605,103.0
2011-12-30,bs,0.0,0.0,163.683801899,40.3279423412,104.0
2011-12-31,bs,0.0,0.0,160.758364408,42.3132687718,82.0
2012-01-01,bs,0.0,0.0,147.669410232,35.1201305619,84.0
2012-01-02,bs,0.0,0.0,174.518498356,35.5407718074,81.0
2012-01-03,bs,0.0,0.0,168.057683437,42.3367193643,82.0
2012-01-04,bs,0.0,0.0,183.202808968,48.0192055192,94.0
2012-01-05,bs,0.0,0.0,233.567776183,45.9639243098,108.0
2012-01-06,bs,0.0,0.0,274.981238547,32.648089824,118.0
2012-01-07,bs,0.0,0.0,266.418706117,35.038850624,106.0
2012-01-09,bs,0.0,0.0,277.432411837,29.594581356,113.0
2012-01-10,bs,0.0,0.0,233.04732011,29.9146047068,82.0
2012-01-11,bs,0.0,0.0,177.966193608,40.9088330647,78.0
2012-01-12,bs,0.0,0.0,211.858188198,39.2699675415,92.0
2012-01-13,bs,0.0,0.0,230.952485625,35.3054274606,94.0
2012-01-14,bs,0.0,0.0,188.066392419,28.4072306905,108.0
2012-01-16,bs,0.0,0.0,192.3440579,27.8500463597,96.0
2012-01-17,bs,0.0,0.0,165.567783933,18.2015258704,100.0
2012-01-18,bs,0.0,0.0,136.598353501,36.1165377298,94.0
2012-01-19,bs,0.0,0.0,163.628473789,38.1215787702,89.0
2012-01-20,bs,0.0,0.0,179.39059778,40.4482199811,88.0
2012-01-21,bs,0.0,0.0,197.430018439,42.8941141356,105.0
2012-01-22,bs,0.0,0.0,181.66750122,37.2562928553,107.0
2012-01-23,bs,0.0,0.0,178.802134245,31.0285964747,105.0
2012-01-24,bs,0.0,0.0,183.948912482,39.019183578,95.0
2012-01-25,bs,0.0,0.0,179.985673345,40.5976986957,97.0
2012-01-26,bs,0.0,0.0,159.964512974,34.4865982091,95.0
2012-01-27,bs,0.0,0.0,157.990556298,31.9552038734,88.0
2012-01-28,bs,0.0,0.0,182.435071024,40.5565623598,85.0
2012-01-29,bs,0.0,0.0,198.134668435,43.3130889558,98.0
2012-01-30,bs,0.0,0.0,188.617843927,51.1759028589,98.0
2012-01-31,bs,0.0,0.0,172.922332104,46.2048304389,103.0
2012-02-01,bs,0.0,0.0,189.757040191,44.1501045545,111.0
2012-02-02,bs,0.0,0.0,183.679672172,44.3635925618,107.0
2012-02-03,bs,0.0,0.0,178.987289078,39.4854608057,91.0
2012-02-04,bs,0.0,0.0,160.831650414,40.8442768144,78.0
2012-02-05,bs,0.0,0.0,172.519858715,45.6090199807,87.0
2012-02-06,bs,0.0,0.0,172.456643376,46.3936780968,89.0
2012-02-07,bs,0.0,0.0,176.272333787,43.2556777085,88.0
2012-02-08,bs,0.0,0.0,208.903715558,57.4614652319,105.0
2012-02-09,bs,0.0,0.0,213.836719786,55.4984700549,103.0
2012-02-10,bs,0.0,0.0,160.507765172,43.0758151776,75.0
2012-02-11,bs,0.0,0.0,139.8751049,39.1052471134,73.0
2012-02-12,bs,0.0,0.0,150.244886582,46.7257920061,87.0
2012-02-13,bs,0.0,0.0,180.427508665,43.2464747818,80.0
2012-02-14,bs,0.0,0.0,185.257183554,40.7766381557,94.0
2012-02-15,bs,0.0,0.0,176.914282195,47.9482021911,87.0
2012-02-16,bs,0.0,0.0,168.924340983,47.1253160501,96.0
2012-02-17,bs,0.0,0.0,138.344869112,35.1601044504,106.0
2012-02-18,bs,0.0,0.0,129.183167656,33.4348269899,105.0
2012-02-19,bs,0.0,0.0,152.460207629,41.5736364188,98.0
2012-02-20,bs,0.0,0.0,145.054802298,32.871715964,91.0
2012-02-21,bs,0.0,0.0,172.150467078,35.5339530919,82.0
2012-02-22,bs,0.0,0.0,158.390724044,40.3029818308,82.0
2012-02-23,bs,0.0,0.0,169.953591319,42.5915156734,82.0
2012-02-24,bs,0.0,0.0,176.877861187,49.6023740015,87.0
2012-02-25,bs,0.0,0.0,189.626445844,54.0609413077,95.0
2012-02-26,bs,0.0,0.0,175.302387432,48.2882377982,95.0
2012-02-27,bs,0.0,0.0,168.200275789,37.2944109948,122.0
2012-02-28,bs,0.0,0.0,151.183451586,35.2807860407,103.0
2012-02-29,bs,0.0,0.0,136.728859584,37.4062906245,77.0
2012-03-01,bs,0.0,0.0,143.536641033,42.9360911611,90.0
2012-03-02,bs,0.0,0.0,144.354629448,45.0152175413,92.0
2012-03-03,bs,0.0,0.0,153.485039137,44.2040659606,74.0
2012-03-04,bs,0.0,0.0,163.641968736,45.3244973737,127.0
2012-03-05,bs,0.0,0.0,208.634794996,63.9290947621,204.0
2012-03-06,bs,0.0,0.0,178.01675836,49.6934879391,110.0
2012-03-07,bs,0.0,0.0,142.243625549,35.6290785142,86.0
2012-03-08,bs,0.0,0.0,142.907636918,43.883347262,115.0
2012-03-09,bs,0.0,0.0,157.912497012,47.4129151787,79.0
2012-03-10,bs,0.0,0.0,124.352079569,38.2701228828,61.0
2012-03-11,bs,1.0,0.0,208.396553922,69.5150461985,64.0
2012-03-12,bs,1.0,0.0,299.641839898,121.310837823,72.0
2012-03-13,bs,0.0,0.0,167.422445979,59.6914572894,74.0
2012-03-14,bs,0.0,0.0,133.429545912,44.9496053433,67.0
2012-03-15,bs,0.0,0.0,181.394342718,62.753549468,81.0
2012-03-16,bs,0.0,0.0,127.725726139,38.5128713192,86.0
2012-03-17,bs,0.0,0.0,105.143745912,26.7211154289,86.0
2012-03-18,bs,0.0,0.0,113.356584547,25.7050737293,81.0
2012-03-19,bs,0.0,0.0,122.537747307,34.3160461267,82.0
2012-03-20,bs,0.0,0.0,129.702625553,35.2712026018,90.0
2012-03-21,bs,0.0,0.0,115.142240107,31.8161190354,88.0
2012-03-22,bs,0.0,0.0,147.039877001,39.4293306197,84.0
2012-03-23,bs,0.0,0.0,142.161587501,44.506181062,76.0
2012-03-24,bs,0.0,0.0,151.26584531,40.6913238139,69.0
2012-03-25,bs,0.0,0.0,148.418230102,38.3008522491,62.0
2012-03-26,bs,0.0,0.0,136.728509408,42.6334487186,69.0
2012-03-27,bs,0.0,0.0,146.652355709,48.1508019435,84.0
2012-03-28,bs,0.0,0.0,141.982547489,48.1747122663,77.0
2012-03-29,bs,0.0,0.0,140.213128999,39.4401584825,80.0
2012-03-30,bs,0.0,0.0,140.572168348,35.3675401381,75.0
2012-03-31,bs,0.0,0.0,129.524394217,28.684915475,68.0
2012-04-01,bs,0.0,0.0,120.342862524,26.1952065051,71.0
2012-04-02,bs,0.0,0.0,119.186985628,31.7939650268,71.0
2012-04-03,bs,0.0,0.0,140.854221513,40.6505166294,84.0
2012-04-04,bs,0.0,0.0,132.178527013,38.3117467543,78.0
2012-04-05,bs,0.0,0.0,151.314385922,32.2176554616,76.0
2012-04-06,bs,0.0,0.0,151.716072913,26.3810071668,76.0
2012-04-07,bs,0.0,0.0,130.438457575,28.040780549,73.0
2012-04-08,bs,0.0,0.0,129.540657356,30.0267069315,71.0
2012-04-09,bs,0.0,0.0,130.399053759,33.0104896423,70.0
2012-04-10,bs,0.0,0.0,153.966085835,40.1215915534,86.0
2012-04-11,bs,0.0,0.0,143.722334952,36.1745620288,93.0
2012-04-12,bs,0.0,0.0,143.761366977,33.128716903,77.0
2012-04-13,bs,0.0,0.0,164.332198378,25.4845537505,77.0
2012-04-14,bs,0.0,0.0,153.000677233,27.5300413878,78.0
2012-04-15,bs,0.0,0.0,142.701623446,26.9287008024,77.0
2012-04-16,bs,0.0,0.0,129.33978897,29.4864754067,75.0
2012-04-17,bs,0.0,0.0,144.362824463,45.2838378167,76.0
2012-04-18,bs,0.0,0.0,173.647095235,44.7184283659,88.0
2012-04-19,bs,0.0,0.0,145.681416246,38.17132025,91.0
2012-04-20,bs,0.0,0.0,140.755805919,36.106766912,70.0
2012-04-21,bs,0.0,0.0,146.179159045,34.6902805399,84.0
2012-04-22,bs,0.0,0.0,146.717956516,35.9919980768,87.0
2012-04-23,bs,0.0,0.0,131.882080739,35.7929422148,79.0
2012-04-24,bs,0.0,0.0,133.371528527,34.5483586879,80.0
2012-04-25,bs,0.0,0.0,174.934993661,29.6038839914,77.0
2012-04-26,bs,0.0,0.0,164.58439953,36.2876392926,77.0
2012-04-27,bs,0.0,0.0,130.034477262,31.9431021071,85.0
2012-04-28,bs,0.0,0.0,146.390346338,39.4454886712,84.0
2012-04-29,bs,0.0,0.0,155.541336388,42.1660095558,88.0
2012-04-30,bs,0.0,0.0,149.634921121,33.5021200149,82.0
2012-05-01,bs,0.0,0.0,153.563038085,32.8693787381,92.0
2012-05-02,bs,0.0,0.0,141.478406126,36.3304650778,87.0
2012-05-03,bs,0.0,0.0,149.276444238,37.721978599,88.0
2012-05-04,bs,0.0,0.0,177.477239019,46.1022778704,87.0
2012-05-05,bs,0.0,0.0,189.373682296,40.6246435269,87.0
2012-05-06,bs,0.0,0.0,178.349578681,48.197238227,92.0
2012-05-07,bs,0.0,0.0,166.492713945,42.3780275771,88.0
2012-05-08,bs,0.0,0.0,179.658654532,47.8205958604,97.0
2012-05-09,bs,0.0,0.0,156.21549858,47.110181408,90.0
2012-05-10,bs,0.0,0.0,159.331174347,47.4724206776,88.0
2012-05-11,bs,0.0,0.0,137.258745796,42.4990747616,88.0
2012-05-12,bs,0.0,0.0,142.435378298,41.2822629705,84.0
2012-05-13,bs,0.0,0.0,153.450897309,44.7477259627,75.0
2012-05-14,bs,0.0,0.0,158.928426774,42.6418465164,78.0
2012-05-15,bs,0.0,0.0,165.443998653,53.8884054392,91.0
2012-05-16,bs,0.0,0.0,169.510694388,45.62827939,89.0
2012-05-17,bs,0.0,0.0,160.494324307,44.2081396926,108.0
2012-05-18,bs,0.0,0.0,165.631469218,43.4187687842,108.0
2012-05-19,bs,0.0,0.0,161.864200968,38.2098066193,93.0
2012-05-20,bs,0.0,0.0,149.27953629,31.7817884852,94.0
2012-05-21,bs,0.0,0.0,147.08205257,36.9965601835,104.0
2012-05-22,bs,0.0,0.0,159.900986256,49.0511657409,112.0
2012-05-23,bs,0.0,0.0,155.131917026,42.6048528817,115.0
2012-05-24,bs,0.0,0.0,175.315789653,56.5564397697,114.0
2012-05-25,bs,0.0,0.0,175.242746424,57.3721458156,118.0
2012-05-26,bs,0.0,0.0,150.816225642,47.6721860592,102.0
2012-05-27,bs,0.0,0.0,159.118171956,48.7756503025,103.0
2012-05-28,bs,0.0,0.0,169.069574182,54.4582416782,98.0
2012-05-29,bs,0.0,0.0,184.318224624,59.4224776592,113.0
2012-05-30,bs,0.0,0.0,180.99931202,62.8264314002,121.0
2012-05-31,bs,0.0,0.0,180.394452513,62.7415604957,130.0
2012-06-01,bs,0.0,0.0,186.700549861,64.803650604,137.0
2012-06-02,bs,0.0,0.0,177.599104406,49.9340222473,118.0
2012-06-03,bs,0.0,0.0,175.921679813,47.8615447321,103.0
2012-06-04,bs,0.0,0.0,160.999004206,52.3869981811,105.0
2012-06-05,bs,0.0,0.0,181.878883048,62.0463843472,108.0
2012-06-06,bs,0.0,0.0,185.148147471,71.9665793185,110.0
2012-06-07,bs,0.0,0.0,195.979602046,75.637211595,99.0
2012-06-08,bs,0.0,0.0,209.314662973,78.0996899301,97.0
2012-06-09,bs,0.0,0.0,194.733037779,63.7422057705,104.0
2012-06-10,bs,0.0,0.0,167.904786523,54.9650999628,111.0
2012-06-11,bs,0.0,0.0,167.398290705,50.2116192811,115.0
2012-06-12,bs,0.0,0.0,169.72562526,51.9462726327,108.0
2012-06-13,bs,0.0,0.0,166.460244083,55.6637701995,95.0
2012-06-14,bs,0.0,0.0,166.140342715,51.4941926673,98.0
2012-06-15,bs,0.0,0.0,162.38977797,51.7579033313,108.0
2012-06-16,bs,0.0,0.0,168.038075929,55.2268905983,95.0
2012-06-17,bs,0.0,0.0,179.005591348,58.4615974196,95.0
2012-06-18,bs,0.0,0.0,194.483045927,64.8367070438,104.0
2012-06-19,bs,0.0,0.0,197.897982041,57.9919219481,122.0
2012-06-20,bs,0.0,0.0,164.373486647,51.1207930912,119.0
2012-06-21,bs,0.0,0.0,152.286850558,52.7676030156,121.0
2012-06-22,bs,0.0,0.0,170.130725796,64.1260718634,116.0
2012-06-23,bs,0.0,0.0,155.708626393,50.950090944,114.0
2012-06-24,bs,0.0,0.0,154.419449044,51.983602009,115.0
2012-06-25,bs,0.0,0.0,177.856771641,56.5448148679,116.0
2012-06-26,bs,0.0,0.0,201.428784849,67.0876086163,113.0
2012-06-27,bs,0.0,0.0,192.306956035,68.7759535105,107.0
2012-06-28,bs,0.0,0.0,194.754109874,72.9105971817,113.0
2012-06-29,bs,0.0,0.0,181.397231767,64.1560424241,110.0
2012-06-30,bs,0.0,0.0,179.827517457,64.4306539151,108.0
2012-07-01,bs,0.0,0.0,188.906254781,60.1420584611,105.0
2012-07-02,bs,0.0,0.0,187.188223636,59.5118690367,99.0
2012-07-03,bs,0.0,0.0,176.188936657,62.9049925624,103.0
2012-07-04,bs,0.0,0.0,166.787036422,58.9275142907,98.0
2012-07-05,bs,0.0,0.0,173.225039889,62.2460757808,107.0
2012-07-06,bs,0.0,0.0,168.508871689,60.5969901324,98.0
2012-07-07,bs,0.0,0.0,166.925873054,58.2404841497,94.0
2012-07-08,bs,0.0,0.0,159.681655988,56.6026238504,107.0
2012-07-09,bs,0.0,0.0,157.238728729,51.265858418,93.0
2012-07-10,bs,0.0,0.0,166.907581957,53.7416772151,89.0
2012-07-11,bs,0.0,0.0,162.904663002,52.583629574,90.0
2012-07-12,bs,0.0,0.0,175.314503413,60.2057575929,100.0
2012-07-13,bs,0.0,0.0,156.308400405,54.6763205429,88.0
2012-07-14,bs,0.0,0.0,156.722600878,52.0583288593,83.0
2012-07-15,bs,0.0,0.0,177.408121588,61.68044198,80.0
2012-07-16,bs,0.0,0.0,154.899738684,50.7373996871,82.0
2012-07-17,bs,0.0,0.0,141.878290383,50.2507833326,91.0
2012-07-18,bs,0.0,0.0,143.881470404,50.6134072224,92.0
2012-07-19,bs,0.0,0.0,161.198639083,55.7281385276,97.0
2012-07-20,bs,0.0,0.0,148.026159436,45.0671876956,98.0
2012-07-21,bs,0.0,0.0,138.799607054,42.3797761836,93.0
2012-07-22,bs,0.0,0.0,133.106805827,39.0577192258,89.0
2012-07-23,bs,0.0,0.0,143.697062015,39.8829875451,90.0
2012-07-24,bs,0.0,0.0,152.178801578,46.8845270037,96.0
2012-07-25,bs,0.0,0.0,157.102751705,46.9751348695,90.0
2012-07-26,bs,0.0,0.0,155.243255495,50.8357617469,91.0
2012-07-27,bs,0.0,0.0,168.34237091,52.298307427,90.0
2012-07-28,bs,0.0,0.0,160.170189716,47.1188167335,81.0
2012-07-29,bs,0.0,0.0,156.833281602,45.8570258829,78.0
2012-07-30,bs,0.0,0.0,149.475255523,49.44295896,81.0
2012-07-31,bs,0.0,0.0,158.480691666,52.1357023571,85.0
2012-08-01,bs,0.0,0.0,152.398953402,47.7668705971,79.0
2012-08-02,bs,0.0,0.0,157.845259596,48.6475175733,76.0
2012-08-03,bs,0.0,0.0,148.417909064,46.3919375211,80.0
2012-08-04,bs,0.0,0.0,129.198396798,39.8098276817,75.0
2012-08-05,bs,0.0,0.0,126.349228891,36.3899278869,76.0
2012-08-06,bs,0.0,0.0,140.315951303,41.1234574175,83.0
2012-08-07,bs,0.0,0.0,148.316973978,42.2408755083,80.0
2012-08-08,bs,0.0,0.0,132.063060682,39.426447122,84.0
2012-08-09,bs,0.0,0.0,128.186589497,39.7376520299,83.0
2012-08-10,bs,0.0,0.0,136.883124899,42.4164562148,90.0
2012-08-11,bs,0.0,0.0,137.888313266,40.8344261,89.0
2012-08-12,bs,0.0,0.0,136.607875782,41.3173073851,84.0
2012-08-13,bs,0.0,0.0,140.298684125,45.2506311711,93.0
2012-08-14,bs,0.0,0.0,140.612525188,40.744061693,84.0
2012-08-15,bs,0.0,0.0,143.46784532,43.465600051,81.0
2012-08-16,bs,0.0,0.0,135.673255652,41.61222301,90.0
2012-08-17,bs,0.0,0.0,146.618936329,47.2749937326,86.0
2012-08-18,bs,0.0,0.0,154.423750591,43.9158901914,83.0
2012-08-19,bs,0.0,0.0,147.179951312,41.7387278817,76.0
2012-08-20,bs,0.0,0.0,160.483249842,42.6735226728,81.0
2012-08-21,bs,0.0,0.0,144.225390726,39.5134938138,85.0
2012-08-22,bs,0.0,0.0,143.255514708,37.9323583678,84.0
2012-08-23,bs,0.0,0.0,152.290156532,47.1466951231,81.0
2012-08-24,bs,0.0,0.0,148.467313415,45.3885716458,92.0
2012-08-25,bs,0.0,0.0,157.313775492,37.0014925243,93.0
2012-08-26,bs,0.0,0.0,140.245103039,33.9539646368,92.0
2012-08-27,bs,0.0,0.0,144.443348087,37.6484740295,92.0
2012-08-28,bs,0.0,0.0,148.150207484,44.2431808353,91.0
2012-08-29,bs,0.0,0.0,145.653042209,45.0470863406,97.0
2012-08-30,bs,0.0,0.0,135.504380237,42.3641877389,89.0
2012-08-31,bs,0.0,0.0,152.96825317,50.9809827521,96.0
2012-09-01,bs,0.0,0.0,153.458039675,48.8942759163,83.0
2012-09-02,bs,0.0,0.0,160.473033019,52.2088873994,83.0
2012-09-03,bs,0.0,0.0,167.057962622,50.646812271,91.0
2012-09-04,bs,0.0,0.0,159.255152066,50.2497530565,94.0
2012-09-05,bs,0.0,0.0,188.974188518,48.0341193873,107.0
2012-09-06,bs,0.0,0.0,146.05804999,32.8156606314,98.0
